unit_id,within_group_similarity,between_group_similarity,similarity_gap,association_auc,anisotropy,effective_rank,model
fcc8,0.9526395921905836,0.9548895054807266,-0.002249913290143013,0.5030381944444444,0.9544395208358765,2.5326428413391113,gpt2_lnfree
3eb3,0.9683831930160522,0.9580919065823158,0.010291286433736446,0.6393229166666667,0.9601501226425171,1.8789687156677246,gpt2_lnfree
1389,0.9567113866408666,0.9580827703078588,-0.0013713836669921875,0.5164930555555556,0.9578084349632263,4.2909159660339355,gpt2_lnfree
e80f,0.9672188659509023,0.9638780119518439,0.0033408539990584796,0.5672743055555555,0.9645462036132812,4.81272029876709,gpt2_lnfree
f712,0.97329959521691,0.9716780968010426,0.0016214984158674506,0.5473090277777778,0.972002387046814,3.7113866806030273,gpt2_lnfree
0807,0.9604769945144653,0.9626098840186993,-0.002132889504233959,0.4665798611111111,0.9621832966804504,2.554517984390259,gpt2_lnfree
d1f7,0.9606121877829233,0.9630699368814627,-0.0024577490985393524,0.4982638888888889,0.9625784158706665,2.0536465644836426,gpt2_lnfree
76c8,0.9696512197454771,0.9649573552111784,0.004693864534298653,0.5611979166666667,0.9658960700035095,2.817589521408081,gpt2_lnfree
eccd,0.9614425028363863,0.9588471222668886,0.0025953805694977072,0.5164930555555556,0.9593662023544312,2.205209732055664,gpt2_lnfree
1cdb,0.9635143727064133,0.9595841690897942,0.00393020361661911,0.5329861111111112,0.9603701829910278,2.956176280975342,gpt2_lnfree
0d92,0.9549777706464132,0.9589296132326126,-0.0039518425861994055,0.44748263888888884,0.9581393003463745,3.467698335647583,gpt2_lnfree
ca9a,0.9804593125979105,0.9783134280393521,0.002145884558558464,0.5421006944444444,0.9787425994873047,2.8313815593719482,gpt2_lnfree
1f55,0.9674492354194323,0.9658655412495136,0.001583694169918659,0.5520833333333334,0.9661821722984314,2.0829272270202637,gpt2_lnfree
7d2a,0.9721718057990074,0.9692094065248966,0.002962399274110794,0.5373263888888888,0.9698018431663513,1.8725160360336304,gpt2_lnfree
1fa3,0.9523642087976137,0.9481484989325205,0.004215709865093231,0.544704861111111,0.9489916563034058,1.839125394821167,gpt2_lnfree
09df,0.9580205952127775,0.956823772440354,0.0011968227724235003,0.5746527777777778,0.9570631384849548,2.828291177749634,gpt2_lnfree
b07e,0.9614286671082178,0.9587295403083166,0.0026991267999012525,0.568576388888889,0.9592693448066711,2.0492498874664307,gpt2_lnfree
e25a,0.9643359805146853,0.9624855841199557,0.0018503963947296143,0.5251736111111112,0.9628556370735168,2.362924098968506,gpt2_lnfree
8aef,0.9757508213321368,0.965891819447279,0.009859001884857777,0.64453125,0.9678636193275452,2.3582303524017334,gpt2_lnfree
5219,0.9694502850373586,0.9649342789004246,0.0045160061369340365,0.5694444444444444,0.9658374786376953,2.275277853012085,gpt2_lnfree
